subject,sessionIndex,rep,H.period,DD.period.t,H.t,DD.t.i,H.i,DD.i.e,H.e,DD.e.five,H.five,DD.five.Shift.r,H.Shift.r,DD.Shift.r.o,H.o,DD.o.a,H.a,DD.a.n,H.n,DD.n.l,H.l,DD.l.Return,H.Return
12,8,40,105.6,353.3,86.9,214.7,78.1,134.3,101.1,473.7,80.8,692.6,87.9,430.5,104.3,231.6,139.1,186.7,91.1,215.9,101.6,251.9,84.7
12,8,41,106.9,300,84.2,212.5,75,322.8,98.5,352.1,73.4,726.6,119.3,253.1,112.7,227.9,124.9,182.2,100.6,217.8,102.2,636.5,144.1
12,8,42,116.4,384.4,73.4,181.9,83.4,165,126.7,310.9,69.2,662.3,96.7,222.9,85,183,132.5,178.2,92.9,230.1,98.2,282.6,103.2
12,8,43,88.2,335.7,80,203,87.4,241.5,100.3,322,89.5,748.7,115.4,234.4,95.8,217.8,122.5,214.4,97.4,251.2,98.2,281.8,99
12,8,44,115.4,342.5,78.9,226.4,94.2,292.4,119,710.6,83.7,761.7,115.6,178.7,111.7,187,135.7,186.7,86.9,246.3,95.6,257.3,116.1
12,8,45,100.3,297.6,84.2,207.2,98.2,235.2,116.1,276,81,650,117,195.7,100.6,226,125.9,241.3,88.4,226.7,90.5,258.5,109.8
12,8,46,109.8,341.7,63.9,193.5,82.1,201.4,112.2,908.6,99.3,889.5,81.1,230.5,107.4,249.7,132.5,169.8,96.1,233.1,103.5,384.4,24.1
12,8,47,121.2,318,85.3,211.7,87.9,146.3,131.7,332,102.9,931.3,112.2,607.8,101.4,426.9,134.6,268.7,108.2,229.6,104.8,262.5,98.5
12,8,48,110.6,543.8,84.5,175,93.4,142.5,114,505.9,98.7,889.1,108,237.1,114.6,272.2,140.9,203,109.5,224.8,120.9,280.5,101.4
12,8,49,113.2,307.1,96.4,274.3,61.3,365.1,102.4,521.7,81.8,716.5,121.2,178.8,117.7,224.7,110.6,170,102.2,247.9,109,280.4,112.4
12,8,50,127.5,641.2,82.4,225.5,100.6,196.2,108.2,416.7,92.9,955.1,131.5,297.5,112.2,304.1,144.1,349.7,109.8,227,87.9,273.8,103.7
13,1,1,67.9,204.3,48.6,94.3,52,105.1,52.5,344.4,62.3,405.4,52.3,176.1,76.8,194.3,60.7,100.4,64.2,208,57.8,421.3,62.6
13,1,2,78.1,218.7,53.1,118.1,52.3,222.3,69.4,1197,61.5,959.3,82.1,232.9,60.7,132,64.2,96.2,55.2,322,56.5,227.9,67.1
13,1,3,72.9,238,54.7,108.6,44.9,80.3,62.8,523.5,56.2,369.2,62.3,177.4,62.6,139,61,116.2,72.3,326.4,62.6,231.9,67.1
13,1,4,68.6,274.6,46.5,99.8,48.1,111.2,51.2,463.1,62.6,447.5,62,187.7,62.3,122,74.7,92.7,60.5,169,56.5,259.1,66
13,1,5,66.5,319.5,47.5,99,40.1,116.1,55.5,434.4,56.8,409.5,61.8,172.4,59.9,143.7,65.2,9.3,63.6,388.2,61,283.9,51.5
13,1,6,74.2,458.6,44.9,65.5,51,137.9,56.5,739.2,57.8,396.8,59.1,181.9,60.2,133.7,45.4,84.8,50.4,183.9,60.5,204.5,64.2
13,1,7,69.4,319.8,39.4,75.9,50.2,111.7,56,290.6,66.3,439,56.8,186.2,56.5,105.4,63.9,73.2,50.4,161.8,60.2,203.4,57.3
13,1,8,65.2,334.3,41.2,68.7,42.5,142,46.2,241.7,62.3,436.8,61.8,186.4,54.1,101.4,62.3,83.7,51.2,157.3,66.3,211.3,65
13,1,9,68.1,238,45.2,67.7,43.8,132.5,53.1,267.6,59.9,436,55.7,184.5,58.4,134.2,55.5,48.1,58.1,167.6,66.3,200,70.5
13,1,10,63.1,267,49.9,104,48.1,120.7,48.6,301.7,59.7,392.3,62.8,181.6,61.8,112.8,71,92.7,48.3,157.8,69.7,190.5,61
13,1,11,62.8,264.3,47,84.5,51,104.3,63.9,244.4,62.8,411.4,68.9,382,59.7,103.3,58.9,113.3,50.7,174.5,56.5,193.9,58.6
13,1,12,59.1,295.5,50.7,96.1,39.9,109.1,55.7,849.2,61.3,396.8,66.5,205.1,44.1,96.2,66.3,79.8,56.8,183.5,56,200,58.6
13,1,13,53.9,200.6,44.9,86.6,49.4,116.2,54.7,458.7,61,407.3,52.8,182.9,53.3,102.5,58.4,71.1,57,173.9,57.3,185.4,61.5
13,1,14,60.7,318.7,57.3,95.1,42.8,115.9,53.3,628.6,45.4,861.4,67.1,340,55.5,120,71.8,110.1,36.4,172,63.4,218.2,57.3
13,1,15,61,232.2,42,48.1,58.4,153.7,56,1357.2,57.3,367.5,64.7,211,56.2,91.1,68.1,79.8,55.2,168.9,59.7,171.2,72.1
13,1,16,77.4,291.1,56.2,76.6,47.3,131,54.9,1300.7,60.7,417,66.3,207.3,52.8,79.6,75,100.9,54.7,177.1,65,191,68.9
13,1,17,79.2,128.2,53.1,105.6,50.7,91.1,56.5,266.3,59.1,438.4,59.9,204,73.1,124.7,60.5,67.7,67.9,175.8,70.5,190.2,66.3
13,1,18,70,191.3,55.2,70.8,47,141.2,58.9,854.2,57.3,403.8,61,188.7,65.5,99.4,66,77.7,65.2,170,71.3,187.6,61.8
13,1,19,60.7,208.9,52.8,70.3,48.9,131.5,66.8,279.8,8.5,556.9,66.8,255.5,64.7,135,70.8,107.3,57,185,62.6,214.5,60.7
13,1,20,68.6,197.8,53.3,89.2,45.4,119.8,67.1,291.4,56.5,470.4,59.9,215.4,74.7,131.8,69.2,78.5,62.8,167,66,172.8,82.9
13,1,21,62.8,196,53.6,89.5,45.4,113.8,65.5,453.1,66,460.8,53.9,209.4,66.5,134.2,54.1,67.1,55.5,167.9,65.5,181.2,75.2
13,1,22,60.5,515.1,56.2,123.8,45.4,106.9,63.9,751.8,51.8,406.6,52.3,144.4,54.1,112,69,51.8,69,168.7,64.4,176.2,65.2
13,1,23,80,177.8,49.4,84.3,50.4,113.5,57.6,682.5,51.2,334.7,57.3,166.1,59.4,94.9,66,82.7,58.4,157.9,67.3,185.7,70.2
13,1,24,70.2,206,51.5,78.7,52.5,123.5,64.4,948.1,50.2,370.1,56,167.7,54.7,106.3,61,73.5,54.1,175,67.1,191,66
13,1,25,90.3,187.1,55.2,111.2,52,97.2,61.3,507.3,49.9,332.6,62.8,191.1,63.6,92.5,75.8,104.9,54.1,161,58.6,180.4,62
13,1,26,65.7,186.5,52.5,82.9,49.6,114,59.9,650.7,59.9,387.7,65,180.7,65.2,98,76.3,94.3,53.9,162.9,67.6,192.3,64.4
13,1,27,66.3,411.7,50.2,124.4,55.5,103.3,57,466.3,53.9,404.4,65.5,195.6,60.2,101.5,63.4,113.6,54.1,157.3,65.5,172.3,67.9
13,1,28,69.4,397.9,51.8,114.9,54.9,111.9,62.3,290.6,54.7,367.5,58.6,176.1,58.9,110.7,72.1,91.7,61.3,162.4,64.7,177.5,71
13,1,29,56.8,186.3,52.5,94,54.1,106.9,53.1,348.6,63.4,439.5,60.2,174.2,51.2,88.5,71,134.9,67.3,170.2,87.4,219.8,72.1
13,1,30,81.8,639.3,56.8,152.4,44.9,99,55.7,318.3,56,380.2,57.8,177.7,69.2,111,74.4,94,60.2,163.4,69.2,208.7,72.6
13,1,31,71.8,303.7,52.8,96.1,51,114.1,61,320.4,48.9,407,58.9,166.9,72.6,138.1,61.6,60,69.2,168.9,64.4,181.7,65.2
13,1,32,69.2,318,51.8,81.4,57,128.8,59.4,246.2,49.6,401.2,57,195.3,66,150.8,45.4,48.6,58.4,167.6,77.4,267.3,63.6
13,1,33,58.6,229.5,56.8,96.2,50.7,119.1,66,468.2,59.7,419.2,55.7,172.9,75.8,138.4,44.1,62.9,57,156.7,63.1,179.9,63.4
13,1,34,62.8,206.3,53.1,87.2,42.5,95.6,69.4,712.5,57,391.8,52.8,155.5,59.7,102.6,65.5,78,58.4,170,70.8,199.2,61.8
13,1,35,74.7,571.5,56,140.2,48.9,84,54.7,327.6,56.8,398.6,57.6,192.7,69.2,106.8,71.3,96.4,54.4,158.6,66,181,63.6
13,1,36,72.3,207.1,53.6,92.7,55.7,121.4,57.8,275.8,57,399.6,53.6,170.6,65.7,128.3,35.1,62.1,52,146.7,66.3,169.1,75
13,1,37,76.6,209,48.9,84.3,48.1,110.9,67.3,274.4,54.7,406.3,55.7,205.6,67.9,138.5,60.7,72.9,53.3,172.8,64.2,181.3,69.7
13,1,38,61.8,187.3,46,73.2,43.8,129.6,63.1,277.4,55.7,390.7,55.5,179.6,59.4,98.3,61.5,91.4,46,148.7,63.6,178.6,66.8
13,1,39,77.9,202.1,48.1,99.1,45.7,95.6,65.2,270.2,56.2,386.1,50.4,405.1,68.6,145.8,62.8,327.5,61.5,232.5,52.3,184.9,59.1
13,1,40,48.1,228.3,45.4,81.3,48.9,114.4,61.3,273.2,58.4,389.6,57.6,192.8,65.2,104.4,60.2,88.2,52.5,157.8,71.5,186.5,73.4
13,1,41,63.4,222.5,45.2,77.7,44.6,121.2,60.2,245.4,61,404.4,52,177.4,57.3,102.3,66.5,98.5,43.6,149.7,65,562.8,78.7
13,1,42,76.8,296.5,52.3,93.8,48.3,109,68.6,462,57.3,392.8,57.3,186.1,63.9,98.3,71.3,105.9,52.3,153.9,68.1,183.1,68.1
13,1,43,72.1,195.8,51,102.2,49.1,93.7,66.8,272.1,56.2,383.5,57.3,192.5,66.5,102,63.4,92.5,53.6,149.7,65.5,176,61.8
13,1,44,53.1,184.4,53.3,106.9,40.7,96.7,64.7,273.7,58.6,385.4,54.1,198.2,69.2,135,51,74,49.1,161.5,58.6,173,62.8
13,1,45,56,176.3,49.4,93.2,48.6,96.7,64.7,234.9,57.6,378.1,53.6,178.8,59.4,132.1,48.6,63.7,54.7,151,70.2,537.2,79.7
13,1,46,63.6,281,51.5,110.1,44.1,99.8,63.1,338.9,65.7,390.7,47.5,169.8,57.8,103.3,67.1,83.5,51.2,149.4,74.2,194.7,60.2
13,1,47,63.6,179.4,55.7,114.8,42.5,87.1,57.6,247.6,61.3,387,52,172.7,56,106.2,64.7,80.9,42.3,143.1,65.2,186,62.8
13,1,48,62.8,192.3,51,112.8,50.4,99.3,65,256.1,52.3,369.3,57,161.6,59.1,146.3,50.2,45.2,77.1,163.4,73.9,176.2,71.8
13,1,49,63.1,155.9,53.3,122.5,45.7,87.2,58.9,328.9,76,541.8,72.9,205.7,67.1,141.1,62.3,73.7,49.6,145.7,67.3,175.9,61.8
13,1,50,68.6,165.1,55.7,133.3,46.2,71,64.4,270,52.3,346.6,51.5,162.4,65.5,177,48.3,94.3,60.2,217.7,47,265.7,52.5
13,2,1,80.8,185,60.5,178.5,38.6,91.1,65.5,908.9,54.9,416,59.1,210.9,60.7,165,90.5,127,52,254.9,58.6,243.7,57
13,2,2,66.5,232.4,40.4,93.7,41.7,97.4,64.4,276,46,427.4,49.6,179.2,55.5,90.7,75.8,101.2,50.7,321.4,58.4,288.7,55.7
13,2,3,59.7,277.1,38,102.7,38.9,81.4,63.6,499.8,47.3,412.3,61.8,193.6,56.2,110.4,78.1,99,60.2,167.9,63.6,239.5,61.5
13,2,4,60.7,288.4,42.5,103.8,45.4,106.1,52,504,47,369.9,57.8,172.7,56,114.9,70.8,88.8,48.6,162.6,61.5,206.5,47.5
13,2,5,57.6,287.1,41.7,96.4,16.9,104.8,58.6,293.5,48.6,461.1,45.7,165.6,56,149.5,61,18.8,51.2,377.4,57,297,51
13,2,6,56.8,668.9,42.5,106.9,43.6,96.4,58.4,388.5,53.9,384.7,43.6,172.9,55.7,103,76.6,100.4,54.1,160.2,62,183.8,61.3
13,2,7,68.1,246.2,38.3,98.2,34.1,107.5,59.9,363.9,53.6,405.2,49.4,184.6,62,101.4,75,97,53.9,174,63.1,198.9,55.5
13,2,8,66.8,248.5,44.9,107.2,16.9,93.2,56.5,292.9,42,382.7,48.3,148.6,54.9,114.4,70.8,88.5,62,163.6,64.4,193.3,58.4
13,2,9,49.4,297.9,43,94.2,41.7,103.7,49.9,341.8,47.5,395.7,39.1,145.3,69.2,149,60.2,97.2,35.7,144.9,69.2,183.9,60.7
13,2,10,63.9,439.3,47.5,130.9,40.7,104.6,55.7,397.2,49.6,395.4,38.8,150.8,57,121.5,76.3,81.1,50.7,156,62.6,177.3,61.3
13,2,11,67.3,333.8,45.7,96.7,39.6,115.4,56.5,275.3,54.1,385.1,50.2,191.4,56.8,133.2,77.9,75.3,52,169.2,63.9,546.7,61.5
13,2,12,53.6,571,44.1,110.6,33,98.5,54.7,401.2,55.2,383.8,54.9,171.9,59.9,92.5,73.4,102,50.7,158.1,73.4,185.7,63.1
13,2,13,57.6,233.3,44.4,129.1,43.6,88.2,54.1,335.7,51.8,445.4,55.2,174.3,70,157.4,76.8,75.5,62.3,186.3,67.6,186,57.6
13,2,14,63.1,323,43.3,98,43.8,115.1,55.7,328.3,58.9,382.5,54.9,171.4,57.8,103.3,74.2,94.6,35.1,158.3,62.8,175.9,53.9
13,2,15,62,319.7,58.1,90.9,39.1,106.2,58.4,252.9,49.9,385.4,50.4,152.3,54.4,117,77.1,75.8,44.4,160.2,67.3,194.7,54.4
13,2,16,76,219.2,46.7,109.5,38.6,80.3,65,237.3,46,362.5,45.7,145.7,50.4,127.6,74.2,100.4,55.5,227,61.3,256.2,58.1
13,2,17,63.6,299.2,33.8,88.5,40.9,118.8,55.7,241.2,43.8,370.8,47,178.2,62.3,127.8,74.7,81.1,51.8,165.8,69.2,183.6,58.6
13,2,18,58.9,210.6,52.5,116.4,45.4,103.8,66.5,547.6,50.2,354.3,56,181.1,58.4,145.6,58.9,32.8,37,208.5,55.5,204,55.7
13,2,19,61.5,235.3,45.4,98.2,37.8,89.6,60.2,235.2,49.4,395.2,49.9,166.9,65.2,162.1,81.4,4.3,47.8,208.8,64.7,606.1,55.5
13,2,20,59.7,242.2,40.7,94.6,40.9,106.4,57.8,282.9,52.3,380.5,49.9,173.7,66.3,128.4,71.3,65.2,49.7,167.1,61,583.6,61
13,2,21,54.4,355.4,38.8,103.8,39.9,105.9,57.6,404.3,53.1,364.1,50.2,178.5,63.1,120.5,79.5,94.9,48.9,162.9,66.5,174.3,60.5
13,2,22,74.4,200.5,46.5,109.1,42.8,93.2,63.1,262.9,53.1,382.3,50.2,175.1,75.8,138.4,75,72.6,44.7,166.6,70.2,182.3,55.5
13,2,23,76.8,184.1,51,145.8,36.7,72.1,59.7,246.5,40.9,344.2,54.4,177.2,67.3,132.1,70.5,53.9,57.3,163.9,67.3,168,56.5
13,2,24,61.5,157.5,44.1,124.1,48.6,72.4,62.6,229.1,44.1,360.9,49.6,166.6,68.6,165.8,77.9,57.3,65.8,204.6,64.2,183.1,53.1
13,2,25,68.4,159.4,42.5,108.8,49.6,86.6,63.4,220.4,49.6,355.8,53.9,184.4,81.3,147.1,76.4,59.2,58.4,175.8,74.4,499.7,65
13,2,26,71.8,264.6,43.3,98.2,42.8,97.5,62.6,277.9,51.5,349.5,49.6,151,65.2,127.6,75.8,51.5,69.5,180.9,63.6,167.7,61.5
13,2,27,69.2,275,40.9,93.7,46,101.7,58.4,243.1,51.5,371.1,49.1,170,60.2,125.5,76,80.8,53.3,153.6,68.9,167,70
13,2,28,65.5,196.3,49.9,116.2,46.2,93.2,61.3,214.4,51,345.9,38,168.1,67.3,127,70.8,73,63.1,156,65.7,164.6,66
13,2,29,65.5,176,48.3,84.2,44.9,113,61.3,210.1,48.3,350.8,43.3,152.9,74.7,168,63.1,85.3,65.2,179.7,65.5,512.9,66.5
13,2,30,61,181.3,45.4,130.7,48.6,86.9,55.5,282.2,56.5,371.2,51.8,155.6,65.7,152.4,70.3,59.7,59.2,165,68.6,178.5,61.3
13,2,31,68.9,185.5,54.7,121,42.5,85.8,61.5,236.7,44.1,329.2,45.4,160.8,61.5,155,64.2,100.4,30.6,205.3,70,210.3,58.4
13,2,32,65.5,133.3,54.1,123.5,49.9,73.9,70.2,243,57.6,364.8,52.5,184,67.6,168.8,61,22.2,41.5,296.1,67.6,280.7,54.7
13,2,33,53.9,101.6,48.3,155.7,44.4,68.2,58.6,225.9,49.9,354.2,49.6,175.3,70,153.8,73.9,65.5,51,182.2,61.8,174.6,59.9
13,2,34,62,295.2,53.1,408.1,42.3,95.1,57,1154.1,68.9,765.9,76.3,233.6,61.3,162.5,82.4,92,52,178.7,65,182.9,67.3
13,2,35,78.9,212.4,59.4,118.5,53.3,77.3,66,244.6,53.6,322.1,62.3,164.7,65,117.6,69.8,66.6,58.4,153.1,62.8,156.6,80.5
13,2,36,83.7,147.2,48.6,142.8,47.5,91.1,57.6,225.7,68.1,361.9,71.8,209.6,63.4,145,64.7,40.2,57.3,168.7,72.1,176.8,66.3
13,2,37,71.3,157.5,50.4,81.6,49.1,105.1,72.9,237.6,56.2,345.5,58.6,182.4,67.1,172.5,61.8,71.9,55.5,189.6,68.6,175.4,66.8
13,2,38,64.7,137.5,47.8,110.1,48.3,84.2,64.7,222.5,54.7,352.2,56.2,186.4,68.9,143.4,71.6,54.2,63.4,183.2,73.9,174.6,65
13,2,39,67.9,265.2,41.2,86.1,52,119.1,56.8,443.9,52.3,369.3,57.6,188.8,64.2,122.9,74.7,82.9,47.3,171.9,68.1,178.3,68.4
13,2,40,71.5,187.5,54.7,119.1,42,93.8,55.2,293.7,62.8,393.5,59.4,197.2,75.5,168.2,43.3,29.6,62.6,176.1,75.8,547.8,64.7
13,2,41,90.5,327.1,35.4,80,54.7,119.9,59.9,680.6,65.2,341.8,75,218.1,73.7,132.6,82.6,58.1,60.7,168.4,72.6,183.1,66.8
13,2,42,70.8,278.7,49.9,124.9,54.7,103.6,59.7,747.7,70.8,362.5,61.3,200.9,68.1,101.5,81.8,85.8,59.9,155.2,70.5,165.4,75.5
13,2,43,75.8,273.6,57.8,104,52.8,115.1,56,221.5,60.7,349.2,70.2,190.6,59.9,116.2,77.1,100.4,63.4,148.4,70.2,188.1,69.7
13,2,44,86.3,169.4,60.5,120.2,48.3,97.7,66.3,234.4,55.2,344.2,60.5,188.3,83.2,193.3,80.8,107.8,56,175.5,77.9,196.3,63.1
13,2,45,68.9,104.2,55.2,165.3,54.7,90.1,61.3,237.8,50.7,365,57,220.4,65.5,138.2,76.3,67.1,66.8,168.9,75.2,191.7,63.9
13,2,46,63.9,114.8,61,131.8,54.7,94.8,64.2,211.2,50.4,391.4,74.4,246.3,60.7,135.5,78.1,84.2,64.7,162.1,76.6,171.8,75
13,2,47,67.3,147.2,55.5,117.3,51.5,95.6,57.6,200.6,58.1,355.6,61.5,202.5,68.4,126.6,83.4,68.1,65,151.8,72.1,272.6,65
13,2,48,64.4,172,58.9,112.2,56,101.4,63.4,241.5,49.1,360.3,56.8,226.3,66,118.3,82.4,80.3,53.1,344.7,63.1,248,62.3
13,2,49,67.9,189,50.4,99,42.8,112,57.8,305.1,54.7,387.8,62.8,224.1,65.2,118.3,69.7,87.2,55.7,157.6,70.8,188.4,59.9
13,2,50,67.6,194.5,55.7,105.3,48.1,148.1,67.1,247.1,54.4,393.3,72.3,230.9,72.3,117.8,67.6,80.6,4.5,159.9,72.1,191.3,56.8
13,3,1,79.5,341.2,54.4,136.8,52,73.4,61.5,599,41.7,420.8,48.9,164.1,58.1,83.3,82.1,120.4,61.3,170,57,223.9,42
13,3,2,68.9,193.7,44.4,97.5,50.7,102.7,68.1,279.2,61,477.7,47.5,141.8,54.9,137.6,58.6,80.6,27,138.4,63.9,177,54.4
13,3,3,64.4,256.7,43.3,105.3,47.5,99,55.5,290.4,48.9,363.8,51.2,172.9,56,123.4,66.5,87.4,61.5,178.4,63.6,207.1,51
13,3,4,53.6,237.7,39.4,115.2,43.3,87.9,59.1,281.3,53.3,393.5,51.5,175.8,62,148.4,30.4,104.1,37.8,187.4,67.1,210.3,60.7
13,3,5,62.6,256.2,38.6,116,48.9,90.1,67.6,251,54.9,378.8,54.1,176.9,52.5,92.7,78.9,90.1,63.1,183.7,59.4,182.3,54.4
13,3,6,66.3,280.5,41.7,104.5,52,106.9,58.6,230.4,49.1,370.9,47,162.2,74.4,141.3,70.8,74.3,64.4,162.6,61.8,179.7,51.8
13,3,7,76.3,260.2,45.7,94.3,53.6,104.8,62.3,214.8,46,354.8,54.4,172.2,66.5,119.4,68.1,70,62,167.8,75.5,209.5,50.2
13,3,8,73.9,198.1,45.7,122,46.5,89.3,60.7,232.8,57.8,690.4,77.6,297.2,60.2,128.9,72.6,115.7,46.2,170,68.4,223.2,51.8
13,3,9,80,236.2,43.6,90.3,49.6,112.7,62.8,233.3,57.3,439.5,52.3,202.8,63.4,95.7,71.5,113.8,43.6,155,67.6,200.2,54.9
13,3,10,91.1,279.2,42.5,99,49.6,95,56.2,233.8,52,392.2,65.5,209.9,59.1,135.2,64.4,84,49.1,168.6,71,202.6,51.5
13,3,11,81.6,192.6,48.3,109.3,50.2,109.6,59.1,282.3,52,441.6,45.7,152.9,76.3,122.6,79.5,115.5,52.8,173.1,61.3,194.2,49.1
13,3,12,82.1,238.3,52.5,122.7,56,93.8,66,257.8,60.5,372.8,54.1,199.3,62.3,115.7,73.9,75.6,56.5,159.7,72.1,193.1,65
13,3,13,83.4,163.3,47.3,112.3,48.6,86.1,59.4,255.7,49.9,408.3,57.6,256.6,63.1,144.2,57.6,108.3,46.2,173.7,65,198.2,42.5
13,3,14,67.3,174.6,54.9,114.8,56.8,106.7,58.9,262.6,52.5,406.4,55.5,412.9,52.5,179.8,64.7,132.6,43.8,189.5,62.6,227.7,48.3
13,3,15,64.4,166.2,43.3,102.2,40.8,93.6,59.1,242.5,56.5,419.9,57,233.9,58.1,109.4,64.7,102,39.4,160.8,62,204.7,52
13,3,16,75,196.8,52.5,131.4,56,91.9,57.8,317.7,47.8,381.7,56.5,198.8,69.2,143.7,61.8,92.2,50.7,180.5,60.5,225.6,54.7
13,3,17,59.9,167.2,59.7,125.7,15.3,79.5,68.4,251.3,68.6,416.8,53.3,201.4,68.6,107.8,74.2,110.4,58.4,180.1,66.5,212.6,42
13,3,18,66.8,160.7,51.5,96.7,46.2,114.8,61.5,650.7,59.9,556.6,47.3,211.7,65.2,89.8,83.2,103.3,51.2,158.1,65,181.3,62.8
13,3,19,59.7,266,49.1,142.5,49.4,93.5,43.6,388,51.2,374.6,56.8,164.8,85.3,118.1,73.1,123,55.2,175.5,65.5,182.6,57.3
13,3,20,77.6,271.5,53.3,139.6,52,94.5,44.4,289.5,49.9,375.4,50.7,187.2,66.5,71.9,81.8,129.4,58.1,168.4,66.3,199.2,58.6
13,3,21,75.8,165.2,50.7,117,53.1,72.1,66.5,528.8,48.9,398.6,63.9,228.1,64.4,116,62.6,96.2,54.9,176.8,64.4,205.2,48.6
13,3,22,72.1,213.5,43.6,169,14.3,132.3,64.7,553.4,53.6,404.1,57,366.3,64.4,87.2,85,149.2,52.8,217.2,57.8,202,52.5
13,3,23,69.2,214.3,54.4,128.8,44.9,92.2,65.7,297.7,53.3,391.2,55.5,196.5,77.1,108.1,65,109.1,59.1,185.8,77.4,196.6,52.3
13,3,24,80.3,157.8,54.7,118.3,48.3,81.8,56.8,270.5,62.6,381,56.8,193.1,70,143.2,43.8,62.6,54.1,176,67.6,197.9,52.3
13,3,25,63.1,197.6,48.1,100.4,46.2,124.6,62.6,250.5,57,407.3,55.2,208.1,63.9,102.3,76.6,116,51.5,166.8,67.6,196.5,57.8
13,3,26,73.1,152.7,46.2,119.3,45.3,91.5,65,272.7,62.8,397.8,53.9,182.5,60.7,144.2,58.6,80.8,48.7,178.5,70.5,185.5,69.4
13,3,27,87.6,283.1,54.1,129.3,49.4,98.3,56.8,255,56.8,386.8,55.2,175.1,62,110.7,78.9,94.8,58.9,167.1,69.2,189.7,66.5
13,3,28,74.4,154,52,116.7,48.9,88.8,62.8,243.3,66.8,379.6,55.7,186.1,71.5,140.2,42,75.3,57.6,153.7,68.9,201.5,57.3
13,3,29,78.1,165.4,47.5,126.2,46,73,64.2,244.7,71.5,388.3,58.4,190.4,67.9,120.8,74.7,68.1,67.9,166.3,68.6,195.7,56.8
13,3,30,75.2,138.5,52,125.7,53.9,67.4,63.4,237,59.7,369.6,51.5,195.7,69.7,116.5,72.9,78,58.4,164,60.5,213.2,64.2
13,3,31,84.2,187.8,56.8,111.5,58.9,93.2,67.1,234.4,63.4,373,64.4,194.5,65.5,113.4,74.4,84.5,61.5,165.7,65,202.6,59.7
13,3,32,79.2,127.4,55.2,121.5,53.3,81.6,62.8,239.3,69.7,398.6,53.9,167.7,68.9,145,71.8,66.8,57.6,188.2,44.4,390,51
13,3,33,97.1,281.8,42,103.3,51,93,59.4,292.4,55.5,397.1,57.3,174.8,69.2,84.1,80.5,119.4,49.9,161.3,65.5,216.6,62
13,3,34,72.1,117.2,48.6,142.8,50.7,64.5,66.5,224.8,30.6,349.2,43.8,200.9,64.7,92,71.8,95.9,57,154.1,72.3,208.4,59.4
13,3,35,72.9,115.6,52.8,131.5,52.8,75.8,65.5,223.3,61.3,364.9,56,190.3,66.5,119.1,76.3,93.3,49.6,151.7,71.3,356.2,49.6
13,3,36,78.4,139.6,54.4,120.7,50.4,80,63.6,204.5,50.2,337.7,57,191.1,63.9,133.4,75,107.3,51,196.9,64.4,234,58.6
13,3,37,72.3,177.5,52.8,125.1,52,73.1,64.7,212.2,53.6,350.5,53.3,187.2,68.4,125.5,61.5,101.2,53.3,179.4,64.7,185.2,54.4
13,3,38,73.1,139.5,46.7,133.3,46.7,66.5,66,224.1,47.8,338.7,53.9,194.1,65.5,132.9,71.6,66.8,65.6,184.6,69.7,181.2,62.3
13,3,39,72.9,163.9,11.9,162.1,44.1,61.3,60.5,255,54.7,334,54.1,169.2,71.8,105.4,75.2,86.1,50.7,162.1,71.3,181.5,61
13,3,40,71.3,106.6,47.3,144.2,58.2,54.7,67.4,202.2,60.7,409.6,54.9,182.2,68.9,113.3,68.4,82.2,49.1,147.8,68.9,186.5,64.4
13,3,41,66.5,117.6,49.1,156.8,19,480,66,299.8,48.1,361.4,45.4,148.2,66.8,114.4,80.5,107,58.1,175.5,71.8,192.3,53.3
13,3,42,68.9,147.7,47,122.2,47,76.3,60.7,207.2,55.2,375.9,48.9,184.6,66.3,90.9,77.1,111.7,60.5,185.3,74.2,201.8,58.4
13,3,43,80.3,167.3,51.8,129.7,48.3,81.8,66.8,221.4,58.4,352.2,57.3,189.8,62,105.4,80,89.3,60.7,175.5,63.1,219.7,55.7
13,3,44,83.7,177.3,59.4,104.6,51.8,88,74.7,210.9,58.9,344.5,59.1,207.2,71.5,126,85.8,78.7,52.8,156.2,81.3,188.1,58.6
13,3,45,75.5,171.5,52.3,108,56.8,86.9,64.7,187.7,58.6,350.3,54.9,183.7,65,140.3,73.7,71.1,56.8,148.9,71.5,190.1,53.6
13,3,46,80,116.9,54.4,132,48.3,70.5,68.9,218.3,64.2,338.5,60.7,190.1,67.1,120,73.5,71.6,51.3,150.8,67.3,173.3,61.8
13,3,47,72.9,124.3,60.2,132.5,47.3,82.2,66.3,200.1,59.1,452.9,58.9,251.6,68.1,216,71.8,162.9,51.2,176.5,71,184.6,52
13,3,48,71.5,98.4,58.9,149.2,49.9,57.9,64.2,194,52.8,329.7,53.3,181,61,131.8,53.3,65.2,54.1,158.3,78.4,181,70.8
13,3,49,52.3,89.2,52.5,176.8,51.2,57.8,54.9,219.6,54.1,359.3,59.4,198.2,63.6,100.1,75.5,110.9,40.2,143.6,65.5,178.3,56.8
13,3,50,69.7,152,49.9,97.4,46.5,95.4,63.4,199.6,57.8,352.1,62.3,186.7,61,126,63.6,81.3,47.3,170,74.4,190.1,50.2
13,4,1,58.9,212.4,48.9,85.1,40.7,117.5,66.8,367.6,42,419.7,59.4,182.2,60.7,109.1,74.5,73.2,54.1,157,62.8,183.8,55.2
